id;noun;LVC_stative_essere_in;LVC_stative_avere;LVC_stative_provare;LVC_stative_sentire;LVC_inchoative_prendere;LVC_inchoative_andare_in;LVC_inchoative_farsi;LVC_causative_fare;LVC_causative_dare;LVC_causative_mettere
1;acredine;essere in acredine;avere acredine;provare acredine;sentire acredine;prendere acredine;andare in acredine;farsi acredine;fare acredine;dare acredine;mettere acredine
2;acrimonia;essere in acrimonia;avere acrimonia;provare acrimonia;sentire acrimonia;prendere acrimonia;andare in acrimonia;farsi acrimonia;fare acrimonia;dare acrimonia;mettere acrimonia
4;agio;essere in agio;avere agio;provare agio;sentire agio;prendere agio;andare in agio;farsi agio;fare agio;dare agio;mettere agio
11;amore;essere in amore;avere amore;provare amore;sentire amore;prendere amore;andare in amore;farsi amore;fare amore;dare amore;mettere amore
12;angoscia;essere in angoscia;avere angoscia;provare angoscia;sentire angoscia;prendere angoscia;andare in angoscia;farsi angoscia;fare angoscia;dare angoscia;mettere angoscia
14;ansia;essere in ansia;avere ansia;provare ansia;sentire ansia;prendere ansia;andare in ansia;farsi ansia;fare ansia;dare ansia;mettere ansia
15;ansietà;essere in ansietà ;avere ansietà ;provare ansietà ;sentire ansietà ;prendere ansietà ;andare in ansietà;farsi ansietà;fare ansietà ;dare ansietà ;mettere ansietà 
16;antipatia;essere in antipatia;avere antipatia;provare antipatia;sentire antipatia;prendere antipatia;andare in antipatia;farsi antipatia;fare antipatia;dare antipatia;mettere antipatia
17;apatia;essere in apatia;avere apatia;provare apatia;sentire apatia;prendere apatia;andare in apatia;farsi apatia;fare apatia;dare apatia;mettere apatia
19;apprensione;essere in apprensione;avere apprensione;provare apprensione;sentire apprensione;prendere apprensione;andare in apprensione;farsi apprensione;fare apprensione;dare apprensione;mettere apprensione
22;astio;essere in astio;avere astio;provare astio;sentire astio;prendere astio;andare in astio;farsi astio;fare astio;dare astio;mettere astio
24;avversione;essere in avversione;avere avversione;provare avversione;sentire avversione;prendere avversione;andare in avversione;farsi avversione;fare avversione;dare avversione;mettere avversione
36;coraggio;essere in coraggio;avere coraggio;provare coraggio;sentire coraggio;prendere coraggio;andare in coraggio;farsi coraggio;fare coraggio;dare coraggio;mettere coraggio
37;cordoglio;essere in cordoglio;avere cordoglio;provare cordoglio;sentire cordoglio;prendere cordoglio;andare in cordoglio;farsi cordoglio;fare cordoglio;dare cordoglio;mettere cordoglio
42;desiderio;essere in desiderio;avere desiderio;provare desiderio;sentire desiderio;prendere desiderio;andare in desiderio;farsi desiderio;fare desiderio;dare desiderio;mettere desiderio
45;diffidenza;essere in diffidenza;avere diffidenza;provare diffidenza;sentire diffidenza;prendere diffidenza;andare in diffidenza;farsi diffidenza;fare diffidenza;dare diffidenza;mettere diffidenza
46;disaffezione;essere in disaffezione;avere disaffezione;provare disaffezione;sentire disaffezione;prendere disaffezione;andare in disaffezione;farsi disaffezione;fare disaffezione;dare disaffezione;mettere disaffezione
47;disagio;essere in disagio;avere disagio;provare disagio;sentire disagio;prendere disagio;andare in disagio;farsi disagio;fare disagio;dare disagio;mettere disagio
48;disamore;essere in disamore;avere disamore;provare disamore;sentire disamore;prendere disamore;andare in disamore;farsi disamore;fare disamore;dare disamore;mettere disamore
50;disappunto;essere in disappunto;avere disappunto;provare disappunto;sentire disappunto;prendere disappunto;andare in disappunto;farsi disappunto;fare disappunto;dare disappunto;mettere disappunto
52;disgusto;essere in disgusto;avere disgusto;provare disgusto;sentire disgusto;prendere disgusto;andare in disgusto;farsi disgusto;fare disgusto;dare disgusto;mettere disgusto
55;disinteresse;essere in disinteresse;avere disinteresse;provare disinteresse;sentire disinteresse;prendere disinteresse;andare in disinteresse;farsi disinteresse;fare disinteresse;dare disinteresse;mettere disinteresse
63;dolore;essere in dolore;avere dolore;provare dolore;sentire dolore;prendere dolore;andare in dolore;farsi dolore;fare dolore;dare dolore;mettere dolore
64;dubbio;essere in dubbio;avere dubbio;provare dubbio;sentire dubbio;prendere dubbio;andare in dubbio;farsi dubbio;fare dubbio;dare dubbio;mettere dubbio
65;eccitazione;essere in eccitazione;avere eccitazione;provare eccitazione;sentire eccitazione;prendere eccitazione;andare in eccitazione;farsi eccitazione;fare eccitazione;dare eccitazione;mettere eccitazione
66;emozione;essere in emozione;avere emozione;provare emozione;sentire emozione;prendere emozione;andare in emozione;farsi emozione;fare emozione;dare emozione;mettere emozione
67;empatia;essere in empatia;avere empatia;provare empatia;sentire empatia;prendere empatia;andare in empatia;farsi empatia;fare empatia;dare empatia;mettere empatia
68;entusiasmo;essere in entusiasmo;avere entusiasmo;provare entusiasmo;sentire entusiasmo;prendere entusiasmo;andare in entusiasmo;farsi entusiasmo;fare entusiasmo;dare entusiasmo;mettere entusiasmo
71;estasi;essere in estasi;avere estasi;provare estasi;sentire estasi;prendere estasi;andare in estasi;farsi estasi;fare estasi;dare estasi;mettere estasi
72;euforia;essere in euforia;avere euforia;provare euforia;sentire euforia;prendere euforia;andare in euforia;farsi euforia;fare euforia;dare euforia;mettere euforia
73;fastidio;essere in fastidio;avere fastidio;provare fastidio;sentire fastidio;prendere fastidio;andare in fastidio;farsi fastidio;fare fastidio;dare fastidio;mettere fastidio
75;fiducia;essere in fiducia;avere fiducia;provare fiducia;sentire fiducia;prendere fiducia;andare in fiducia;farsi fiducia;fare fiducia;dare fiducia;mettere fiducia
77;fifa;essere in fifa;avere fifa;provare fifa;sentire fifa;prendere fifa;andare in fifa;farsi fifa;fare fifa;dare fifa;mettere fifa
78;foga;essere in foga;avere foga;provare foga;sentire foga;prendere foga;andare in foga;farsi foga;fare foga;dare foga;mettere foga
80;frenesia;essere in frenesia;avere frenesia;provare frenesia;sentire frenesia;prendere frenesia;andare in frenesia;farsi frenesia;fare frenesia;dare frenesia;mettere frenesia
82;furia;essere in furia;avere furia;provare furia;sentire furia;prendere furia;andare in furia;farsi furia;fare furia;dare furia;mettere furia
83;gaudio;essere in gaudio;avere gaudio;provare gaudio;sentire gaudio;prendere gaudio;andare in gaudio;farsi gaudio;fare gaudio;dare gaudio;mettere gaudio
85;gioia;essere in gioia;avere gioia;provare gioia;sentire gioia;prendere gioia;andare in gioia;farsi gioia;fare gioia;dare gioia;mettere gioia
86;giubilo;essere in giubilo;avere giubilo;provare giubilo;sentire giubilo;prendere giubilo;andare in giubilo;farsi giubilo;fare giubilo;dare giubilo;mettere giubilo
92;impazienza;essere in impazienza;avere impazienza;provare impazienza;sentire impazienza;prendere impazienza;andare in impazienza;farsi impazienza;fare impazienza;dare impazienza;mettere impazienza
93;impressione;essere in impressione;avere impressione;provare impressione;sentire impressione;prendere impressione;andare in impressione;farsi impressione;fare impressione;dare impressione;mettere impressione
97;indifferenza;essere in indifferenza;avere indifferenza;provare indifferenza;sentire indifferenza;prendere indifferenza;andare in indifferenza;farsi indifferenza;fare indifferenza;dare indifferenza;mettere indifferenza
100;inquietudine;essere in inquietudine;avere inquietudine;provare inquietudine;sentire inquietudine;prendere inquietudine;andare in inquietudine;farsi inquietudine;fare inquietudine;dare inquietudine;mettere inquietudine
104;interesse;essere in interesse;avere interesse;provare interesse;sentire interesse;prendere interesse;andare in interesse;farsi interesse;fare interesse;dare interesse;mettere interesse
105;invidia;essere in invidia;avere invidia;provare invidia;sentire invidia;prendere invidia;andare in invidia;farsi invidia;fare invidia;dare invidia;mettere invidia
106;ira;essere in ira;avere ira;provare ira;sentire ira;prendere ira;andare in ira;farsi ira;fare ira;dare ira;mettere ira
110;livore;essere in livore;avere livore;provare livore;sentire livore;prendere livore;andare in livore;farsi livore;fare livore;dare livore;mettere livore
111;magone;essere in magone;avere magone;provare magone;sentire magone;prendere magone;andare in magone;farsi magone;fare magone;dare magone;mettere magone
112;malcontento;essere in malcontento;avere malcontento;provare malcontento;sentire malcontento;prendere malcontento;andare in malcontento;farsi malcontento;fare malcontento;dare malcontento;mettere malcontento
113;malessere;essere in malessere;avere malessere;provare malessere;sentire malessere;prendere malessere;andare in malessere;farsi malessere;fare malessere;dare malessere;mettere malessere
114;malinconia;essere in malinconia;avere malinconia;provare malinconia;sentire malinconia;prendere malinconia;andare in malinconia;farsi malinconia;fare malinconia;dare malinconia;mettere malinconia
115;malumore;essere in malumore;avere malumore;provare malumore;sentire malumore;prendere malumore;andare in malumore;farsi malumore;fare malumore;dare malumore;mettere malumore
116;melanconia;essere in melanconia;avere melanconia;provare melanconia;sentire melanconia;prendere melanconia;andare in melanconia;farsi melanconia;fare melanconia;dare melanconia;mettere melanconia
117;meraviglia;essere in meraviglia;avere meraviglia;provare meraviglia;sentire meraviglia;prendere meraviglia;andare in meraviglia;farsi meraviglia;fare meraviglia;dare meraviglia;mettere meraviglia
119;nausea;essere in nausea;avere nausea;provare nausea;sentire nausea;prendere nausea;andare in nausea;farsi nausea;fare nausea;dare nausea;mettere nausea
122;noia;essere in noia;avere noia;provare noia;sentire noia;prendere noia;andare in noia;farsi noia;fare noia;dare noia;mettere noia
123;nostalgia;essere in nostalgia;avere nostalgia;provare nostalgia;sentire nostalgia;prendere nostalgia;andare in nostalgia;farsi nostalgia;fare nostalgia;dare nostalgia;mettere nostalgia
124;odio;essere in odio;avere odio;provare odio;sentire odio;prendere odio;andare in odio;farsi odio;fare odio;dare odio;mettere odio
125;orrore;essere in orrore;avere orrore;provare orrore;sentire orrore;prendere orrore;andare in orrore;farsi orrore;fare orrore;dare orrore;mettere orrore
126;panico;essere in panico;avere panico;provare panico;sentire panico;prendere panico;andare in panico;farsi panico;fare panico;dare panico;mettere panico
127;paranoia;essere in paranoia;avere paranoia;provare paranoia;sentire paranoia;prendere paranoia;andare in paranoia;farsi paranoia;fare paranoia;dare paranoia;mettere paranoia
128;passione;essere in passione;avere passione;provare passione;sentire passione;prendere passione;andare in passione;farsi passione;fare passione;dare passione;mettere passione
129;paura;essere in paura;avere paura;provare paura;sentire paura;prendere paura;andare in paura;farsi paura;fare paura;dare paura;mettere paura
134;pietà;essere in pietà ;avere pietà ;provare pietà ;sentire pietà ;prendere pietà ;andare in pietà ;farsi pietà ;fare pietà ;dare pietà ;mettere pietà 
138;rabbia;essere in rabbia;avere rabbia;provare rabbia;sentire rabbia;prendere rabbia;andare in rabbia;farsi rabbia;fare rabbia;dare rabbia;mettere rabbia
141;rancore;essere in rancore;avere rancore;provare rancore;sentire rancore;prendere rancore;andare in rancore;farsi rancore;fare rancore;dare rancore;mettere rancore
144;ribrezzo;essere in ribrezzo;avere ribrezzo;provare ribrezzo;sentire ribrezzo;prendere ribrezzo;andare in ribrezzo;farsi ribrezzo;fare ribrezzo;dare ribrezzo;mettere ribrezzo
147;rimorso;essere in rimorso;avere rimorso;provare rimorso;sentire rimorso;prendere rimorso;andare in rimorso;farsi rimorso;fare rimorso;dare rimorso;mettere rimorso
153;schifo;essere in schifo;avere schifo;provare schifo;sentire schifo;prendere schifo;andare in schifo;farsi schifo;fare schifo;dare schifo;mettere schifo
164;shock;essere in shock;avere shock;provare shock;sentire shock;prendere shock;andare in shock;farsi shock;fare shock;dare shock;mettere shock
166;simpatia;essere in simpatia;avere simpatia;provare simpatia;sentire simpatia;prendere simpatia;andare in simpatia;farsi simpatia;fare simpatia;dare simpatia;mettere simpatia
171;soggezione;essere in soggezione;avere soggezione;provare soggezione;sentire soggezione;prendere soggezione;andare in soggezione;farsi soggezione;fare soggezione;dare soggezione;mettere soggezione
172;sollazzo;essere in sollazzo;avere sollazzo;provare sollazzo;sentire sollazzo;prendere sollazzo;andare in sollazzo;farsi sollazzo;fare sollazzo;dare sollazzo;mettere sollazzo
184;stizza;essere in stizza;avere stizza;provare stizza;sentire stizza;prendere stizza;andare in stizza;farsi stizza;fare stizza;dare stizza;mettere stizza
187;strazio;essere in strazio;avere strazio;provare strazio;sentire strazio;prendere strazio;andare in strazio;farsi strazio;fare strazio;dare strazio;mettere strazio
188;stupore;essere in stupore;avere stupore;provare stupore;sentire stupore;prendere stupore;andare in stupore;farsi stupore;fare stupore;dare stupore;mettere stupore
191;terrore;essere in terrore;avere terrore;provare terrore;sentire terrore;prendere terrore;andare in terrore;farsi terrore;fare terrore;dare terrore;mettere terrore
192;timore;essere in timore;avere timore;provare timore;sentire timore;prendere timore;andare in timore;farsi timore;fare timore;dare timore;mettere timore
193;tormento;essere in tormento;avere tormento;provare tormento;sentire tormento;prendere tormento;andare in tormento;farsi tormento;fare tormento;dare tormento;mettere tormento
198;vergogna;essere in vergogna;avere vergogna;provare vergogna;sentire vergogna;prendere vergogna;andare in vergogna;farsi vergogna;fare vergogna;dare vergogna;mettere vergogna
202;affetto;essere in affetto;avere affetto;provare affetto;sentire affetto;prendere affetto;andare in affetto;farsi affetto;fare affetto;dare affetto;mettere affetto
205;calma;essere in calma;avere calma;provare calma;sentire calma;prendere calma;andare in calma;farsi calma;fare calma;dare calma;mettere calma
206;letizia;essere in letizia;avere letizia;provare letizia;sentire letizia;prendere letizia;andare in letizia;farsi letizia;fare letizia;dare letizia;mettere letizia
214;orgoglio;essere in orgoglio;avere orgoglio;provare orgoglio;sentire orgoglio;prendere orgoglio;andare in orgoglio;farsi orgoglio;fare orgoglio;dare orgoglio;mettere orgoglio
215;collera;essere in collera;avere collera;provare collera;sentire collera;prendere collera;andare in collera;farsi collera;fare collera;dare collera;mettere collera
218;pena;essere in pena;avere pena;provare pena;sentire pena;prendere pena;andare in pena;farsi pena;fare pena;dare pena;mettere pena
