word,cluster,label
umano,10,semi
cenno,9,mezzo
recluso,7,semi
segreto,10,semi
decomporre,5,semi
nano,7,mezzo
crepuscolare,0,semi
sanzione,6,mezzo
urlo,9,mezzo
timore,6,mezzo
monopolio,2,semi
giornalista,2,semi
coagulare,5,semi
permeabile,8,semi
trucchetto,1,mezzo
sbucciare,4,mezzo
incubo,9,mezzo
prezioso,8,semi
industriale,8,semi
investire,5,mezzo
rivolta,6,both
finito,3,semi
mafioso,6,mezzo
brivido,9,mezzo
rimangiare,5,mezzo
sconfitta,1,mezzo
asfissia,7,semi
paralizzare,5,semi
spennacchiare,3,mezzo
ecatombe,1,mezzo
monco,0,semi
fascista,11,semi
boomerang,1,mezzo
rovina,5,semi
storia,10,mezzo
amministrazione,2,semi
manufatto,8,semi
malaticcio,3,mezzo
opaco,4,semi
troia,7,mezzo
freudismo,11,mezzo
ombra,0,mezzo
rigido,8,semi
barbaro,11,semi
permamente,8,semi
pubblico,2,semi
annegamento,7,semi
divino,10,semi
comunistico,11,semi
bandito,7,mezzo
giardino,4,mezzo
spoglio,4,semi
gratuito,2,semi
uomo,10,both
parata,1,mezzo
affondare,5,semi
impiego,2,mezzo
curva,4,both
magico,10,semi
abbassare,5,mezzo
divulgativo,2,semi
coloniale,11,semi
militarizzazione,6,semi
spopolare,5,mezzo
amore,10,mezzo
presidenziale,11,semi
irriconoscibile,0,semi
scemo,7,mezzo
paese,11,mezzo
flop,1,mezzo
cartolina,4,mezzo
letale,10,semi
lite,6,mezzo
isolamento,7,semi
impermeabile,4,semi
cancellare,5,both
abbandono,7,semi
convinzione,10,mezzo
isterica,7,mezzo
inosservato,0,semi
romano,11,mezzo
aperto,0,both
nazionalistico,11,semi
colosso,2,mezzo
sussurrare,9,semi
piegare,5,both
incosciente,7,semi
legge,2,mezzo
legale,6,semi
trasparente,8,semi
influenzato,3,mezzo
materno,2,semi
strappato,5,semi
affogato,5,mezzo
ricurvo,4,mezzo
cultura,10,both
maniaco,7,mezzo
dramma,1,mezzo
dea,10,semi
commissariato,6,semi
pentimento,1,mezzo
radicale,11,semi
torre,4,mezzo
fracassare,5,mezzo
proibito,10,semi
starnuto,9,mezzo
distruggere,5,semi
delusione,1,mezzo
indiano,11,both
seppellito,5,mezzo
intimidatorio,6,semi
crudo,4,semi
delinquenziale,6,semi
riflettente,4,semi
insuccesso,1,mezzo
suo,10,mezzo
fortificare,5,semi
sintesi,2,semi
ufficiale,11,semi
osservazione,10,mezzo
morto,3,mezzo
santo,10,mezzo
arido,4,semi
sovrapposto,4,semi
cadavere,5,semi
colpo,7,mezzo
grasso,4,semi
irreparabile,1,semi
intontire,3,mezzo
rompicollo,0,mezzo
trasformare,5,mezzo
risposta,6,mezzo
rotto,5,mezzo
smarrito,3,semi
monaca,10,semi
foglio,4,mezzo
disgregare,5,semi
vegetativo,3,semi
bocciatura,1,mezzo
voltare,5,semi
risolino,9,mezzo
smantellare,5,mezzo
regolare,8,semi
zen,10,semi
monopolistico,2,semi
esaurimento,8,mezzo
parola,7,mezzo
coda,4,mezzo
trionfo,1,mezzo
tappezzare,5,semi
editto,11,mezzo
pluralistico,11,semi
carnivoro,3,semi
fantastico,10,semi
accoppare,3,mezzo
tragedia,1,mezzo
stordito,3,mezzo
imputabile,0,semi
indipendente,2,semi
storto,5,mezzo
rompere,5,mezzo
imparare,7,mezzo
liquido,4,semi
tradimento,1,mezzo
dio,10,semi
comatoso,3,semi
letterario,2,semi
lupo,3,mezzo
terroristico,6,semi
metaforico,10,semi
ponte,4,semi
vuoto,0,both
ortodosso,11,semi
artigianale,8,semi
soffocare,5,mezzo
luogo,0,mezzo
ripetitivo,0,semi
freddo,4,semi
marxismo,11,mezzo
terrorizzato,3,semi
libero,2,semi
invisibile,0,semi
granulare,4,semi
incesto,1,mezzo
serio,10,both
obbligato,0,semi
immortale,10,semi
potente,8,mezzo
salato,4,mezzo
caos,1,mezzo
sepolto,5,semi
nomade,11,semi
sorriso,9,mezzo
cupio,7,semi
commerciale,8,semi
confortevole,4,semi
mitico,10,semi
maggioritario,11,semi
incoscienza,7,semi
ucraino,11,mezzo
coerente,2,semi
brillo,3,mezzo
autobiografico,10,semi
confessare,1,semi
sbronzo,7,mezzo
adesione,2,semi
labirinto,0,mezzo
vittima,1,semi
ibernazione,3,semi
affogare,5,both
carenatura,4,semi
scappare,3,semi
battuta,7,mezzo
sbiadito,0,mezzo
abbraccio,9,mezzo
messicano,11,mezzo
drop-out,7,mezzo
tumulto,6,mezzo
sprofondare,5,mezzo
direttivo,2,semi
sorridente,9,semi
seccato,3,mezzo
polverizzare,5,semi
scandalo,1,mezzo
soffiata,6,mezzo
ubriaco,3,both
diavoleria,1,mezzo
opera,10,semi
ignoranza,1,mezzo
assonnare,3,mezzo
impennata,1,mezzo
singhiozzo,9,mezzo
cotto,4,semi
grazia,10,semi
desiderio,10,mezzo
crisi,1,mezzo
divertito,9,mezzo
feudale,11,semi
impotente,3,semi
slavo,11,mezzo
bugia,1,mezzo
soprano,10,mezzo
avvertimento,6,mezzo
rimorchio,8,semi
privatizzare,2,semi
solido,8,semi
privato,2,semi
auto,8,mezzo
fino,0,semi
ghiacciato,4,mezzo
diario,10,mezzo
primato,1,mezzo
figura,0,mezzo
accucciare,5,semi
lutto,1,mezzo
ipnotizzare,3,semi
ipnosi,10,semi
marcio,5,mezzo
svestire,5,both
selvaggio,4,semi
casinò,10,mezzo
congelare,5,both
isolato,5,both
preparato,4,semi
scenico,10,semi
specializzazione,2,semi
ghigno,9,mezzo
decollare,5,semi
ipnotico,10,semi
sodo,4,semi
girato,7,semi
passivo,8,semi
bacio,9,mezzo
balbuziente,7,semi
padrone,7,mezzo
papera,7,mezzo
confidenza,7,mezzo
promessa,1,mezzo
frantumare,5,mezzo
arianesimo,11,semi
indigeno,11,mezzo
cadere,5,mezzo
timido,9,mezzo
stagionale,2,semi
coperto,4,both
francese,11,mezzo
stronzata,7,semi
alterco,6,mezzo
forte,0,mezzo
corsa,0,mezzo
disseccare,4,mezzo
sollevato,10,semi
militare,6,semi
assicurazione,2,mezzo
sospetto,6,mezzo
schiavistico,11,semi
cieco,7,both
risata,9,mezzo
risolto,10,mezzo
regalo,4,mezzo
carico,8,mezzo
vegetariano,3,semi
putiferio,1,mezzo
ricatto,6,mezzo
debole,0,semi
taglio,8,mezzo
salvare,5,mezzo
affossare,5,semi
metallizzato,4,semi
legittimo,6,semi
regionale,2,mezzo
incidente,1,mezzo
guarire,3,mezzo
universale,10,semi
assolutismo,11,semi
prova,10,mezzo
direttiva,2,semi
reclusione,6,semi
vivo,3,both
infermo,7,semi
vita,10,both
infarinatura,10,mezzo
interattivo,2,semi
abbattuto,5,both
professionale,2,semi
condanna,6,mezzo
rivoluzionario,11,semi
sogghigno,9,mezzo
desertico,4,semi
balla,7,both
alcolista,7,mezzo
alcolizzato,7,semi
teso,0,semi
perso,5,semi
matrimoniale,8,semi
racconto,10,mezzo
esercito,6,mezzo
sbadiglio,9,mezzo
alter-ego,10,semi
forti,11,semi
rovinare,5,both
dalmata,11,semi
confessione,6,mezzo
casa,4,mezzo
losangelino,10,mezzo
scassare,5,mezzo
sfondo,0,mezzo
ipotecare,1,mezzo
demolire,5,semi
immobile,8,semi
pieno,0,mezzo
cingolato,8,semi
rosicchiare,5,mezzo
totale,8,semi
figurativo,10,semi
brado,4,semi
automatico,8,semi
reclinare,5,semi
spento,3,both
punta,4,mezzo
assoluzione,6,semi
paralizzato,3,both
bagnato,4,mezzo
asfissiare,3,semi
mangiare,3,mezzo
nemico,6,mezzo
vincolante,2,semi
disastro,1,mezzo
fuga,7,semi
retromarcia,0,mezzo
partire,5,mezzo
teologico,11,semi
greco,11,mezzo
impuro,10,semi
gaffe,1,mezzo
incendio,1,mezzo
umido,4,semi
gotico,10,semi
indigestione,9,mezzo
lavorato,8,semi
ridere,9,mezzo
principiante,10,semi
cabinato,8,semi
camionata,3,mezzo
ammissione,2,mezzo
fuoristrada,8,semi
cammino,10,mezzo
scollo,4,mezzo
nascosto,0,both
collina,4,semi
distrutto,5,both
pasticcio,1,mezzo
analfabeta,7,semi
scherzoso,9,semi
tempesta,1,mezzo
forzato,10,semi
bastardo,7,mezzo
bancarotta,1,semi
linguistico,2,semi
sommergibile,6,semi
inginocchiare,5,both
sartoriale,8,semi
clausura,10,semi
strangolare,3,mezzo
riconoscibile,0,semi
commutare,6,both
informale,2,semi
sordo,7,both
consonantico,10,semi
vestito,5,both
invito,10,mezzo
contatto,0,semi
letamaio,5,mezzo
chiesa,6,mezzo
vittoria,1,mezzo
formalizzare,2,semi
deserto,4,semi
protestante,11,semi
coma,3,semi
certezza,10,mezzo
vocale,10,semi
religioso,11,semi
successo,1,mezzo
offeso,6,semi
travolgere,5,mezzo
bufala,1,mezzo
fradicio,5,mezzo
acciaccato,3,mezzo
errore,1,mezzo
carenato,4,semi
sintetico,8,semi
doppio,8,semi
gol,7,mezzo
presenza,0,mezzo
stronzetto,7,mezzo
standardizzare,8,semi
indipendenza,11,semi
disilluso,3,mezzo
ammazzare,3,mezzo
razzista,11,semi
attivo,8,semi
eroico,6,semi
ebete,9,semi
sfatto,5,mezzo
centro,8,semi
montagna,4,mezzo
flessibile,8,semi
detenzione,6,semi
interrogativo,6,semi
miracolo,1,mezzo
ragione,10,mezzo
lucido,4,semi
consapevole,10,semi
rivoluzione,11,mezzo
biografico,2,semi
invenzione,10,mezzo
comparsa,0,semi
conferma,6,mezzo
dipendente,2,semi
buio,0,both
diafano,0,semi
sdraiato,5,semi
ignorante,7,semi
silenzio,3,mezzo
fiasco,1,mezzo
blocco,8,semi
bloccare,5,semi
coscienza,10,semi
ladro,7,mezzo
fortuna,1,mezzo
sbottonare,5,mezzo
abbandonato,5,both
genio,10,mezzo
erezione,7,semi
felino,3,semi
professionistico,2,semi
sotterraneo,4,semi
plebiscitario,11,semi
hard,8,semi
inchino,9,both
sbrindellato,5,mezzo
naso,9,mezzo
consacrazione,1,mezzo
rivestimento,4,mezzo
partito,11,mezzo
anonimo,7,semi
selvatico,4,semi
verifica,6,mezzo
pelato,4,semi
pensionamento,2,semi
permanente,2,semi
intesa,2,mezzo
smentita,6,mezzo
pazzo,7,mezzo
custom,8,semi
devastare,5,mezzo
periferico,2,semi
mutilato,7,semi
presidente,11,semi
sconosciuto,0,semi
catastrofe,1,semi
mutismo,3,semi
disabitato,4,semi
notizia,6,mezzo
meccanico,8,mezzo
ipogeo,4,semi
adamitico,5,semi
fiore,4,mezzo
zuffa,10,mezzo
sgombro,4,mezzo
smorfia,9,mezzo
chiuso,0,both
nazista,11,semi
sviluppato,8,semi
scassato,8,mezzo
matto,7,mezzo
definitivo,2,semi
sguardo,9,mezzo
fittizio,0,semi
ribellione,6,mezzo
penna,4,mezzo
frastornato,3,mezzo
clandestino,11,semi
nozione,10,mezzo
residenziale,8,semi
sinistra,11,mezzo
scuro,4,semi
vero,10,semi
festivo,0,semi
lavoratore,2,semi
assedio,6,mezzo
maestro,10,mezzo
conduttore,8,semi
bestemmia,7,mezzo
idiota,7,mezzo
vergogna,1,mezzo
sbranare,3,semi
periferia,8,semi
vacanza,4,mezzo
autonomo,2,semi
invalido,7,both
soffocato,3,mezzo
maschio,7,mezzo
amaro,9,semi
persona,10,mezzo
fallo,7,mezzo
sommerso,4,both
trasformazione,2,semi
processo,2,mezzo
secco,4,both
esonero,1,semi
casino,1,mezzo
repubblica,11,semi
derelitto,7,mezzo
musical,10,mezzo
obbligatorio,2,semi
guerra,6,semi
rimbecillire,7,mezzo
esordiente,2,semi
abitabile,4,semi
statale,2,semi
integrale,2,semi
dialettale,10,semi
vivente,10,semi
sapere,7,mezzo
calvo,5,both
ombreggiare,4,semi
digiuno,3,semi
sociologo,2,mezzo
fresco,4,semi
diroccato,5,both
pervertito,7,mezzo
assopire,3,semi
dilettante,2,semi
rissa,6,mezzo
rovesciare,5,both
erboso,4,semi
mascherare,3,semi
famiglia,10,mezzo
erede,10,semi
socialista,11,semi
oscuro,0,semi
legnoso,4,semi
ondeggiante,4,semi
articolato,8,semi
professionista,2,semi
nuovo,2,semi
rifacimento,4,mezzo
informazione,10,mezzo
conoscenza,10,mezzo
centrale,8,semi
scientifico,2,semi
snob,7,mezzo
endorsement,11,mezzo
immerso,5,both
frase,7,mezzo
lungo,4,both
dittatore,11,semi
sfasciare,5,mezzo
surgelato,4,mezzo
apertura,0,semi
dittatoriale,11,semi
naturale,4,semi
vincolato,8,semi
ingegno,10,mezzo
luce,0,both
crollare,5,mezzo
schiavo,7,semi
tubo,4,mezzo
problema,1,mezzo
sardo,11,mezzo
metallo,4,semi
impresa,2,mezzo
morbido,4,semi
mistico,10,semi
politico,11,semi
olimpico,2,semi
equatoriale,4,semi
intensivo,8,semi
boscoso,4,semi
ala,4,mezzo
organico,8,semi
membranoso,4,semi
artificiale,4,semi
imballato,4,mezzo
chino,5,mezzo
giapponese,11,semi
continuo,0,semi
sporco,5,mezzo
duro,4,semi
romanzo,10,mezzo
colto,9,semi
farsa,1,mezzo
prussiana,11,semi
zavorra,0,mezzo
dormiente,3,semi
disorientato,3,mezzo
volontaristico,11,semi
appuntamento,0,mezzo
dichiarazione,6,mezzo
leale,11,semi
deficiente,7,semi
occupato,2,semi
abbaglio,1,mezzo
sciolto,4,both
speranza,10,mezzo
manicone,7,mezzo
tecnico,2,semi
nudo,5,both
prodotto,8,semi
horror,10,semi
combusto,4,semi
reale,0,semi
funerale,1,mezzo
fondo,8,mezzo
pastrocchio,1,mezzo
paludoso,4,semi
accecare,3,both
spiegazzare,5,mezzo
concordanza,2,semi
globale,2,semi
finestra,4,mezzo
ibernare,3,semi
sedere,5,semi
occhiata,9,mezzo
libro,10,mezzo
demente,7,mezzo
democratico,11,semi
disegno,0,mezzo
sorrisetto,9,mezzo
riposo,0,mezzo
raffica,7,mezzo
mistero,10,mezzo
fallimento,1,both
svenire,3,semi
batteria,8,mezzo
baggio,7,mezzo
strega,7,mezzo
drogato,7,mezzo
disteso,0,both
catatonico,3,semi
parete,4,mezzo
privatizzazione,2,semi
terrorista,6,mezzo
urbano,8,semi
cosciente,10,semi
aggressione,6,mezzo
sfondato,5,mezzo
rasato,5,semi
addormentato,3,both
barbarie,6,semi
individuale,2,semi
minaccia,6,mezzo
stagionato,4,semi
cosa,7,mezzo
scoperta,10,mezzo
patrimonio,8,mezzo
casuale,0,semi
confusionale,3,mezzo
maga,10,mezzo
abusivo,8,semi
ringhio,9,mezzo
sempreverde,4,semi
democrazia,11,semi
biascicare,9,mezzo
sbilanciare,5,mezzo
donna,10,mezzo
carbonizzare,5,semi
innocenza,1,mezzo
fluido,4,semi
resistente,8,semi
sospiro,9,mezzo
fuso,4,semi
accordo,2,mezzo
strutturato,8,semi
impazzire,3,mezzo
idea,10,mezzo
menomato,3,mezzo
ironico,9,semi
